Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
logistics clerk - transportation,"Posted on March 21, 2024",EQUIPEMENTS RECREATIFS        JAMBETTE INC.,"Lévis, QC",23.53 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,5/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40579839?source=searchresults
produce clerk,"Posted on March 26, 2024",GAGNON - La Grande Quincaillerie,"Mont-Tremblant, QC",17.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40626843?source=searchresults
babysitter,"Posted on March 28, 2024",INOVARIO IMMOBILIER inc.,"Châteauguay, QC",15.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40645452?source=searchresults
electrical mechanic,"Posted on March 21, 2024",KOTCHI,"Saint-Nicolas, QC",31.90 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40581312?source=searchresults
director - financial services,"Posted on January 31, 2024",Archimat Inc,"Montréal, QC",55.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,Bachelor's degree,3 years to less than 5 years,"Monitor financial control systems, Leading/instructing groups, Supervisory Experience","Dental plan, Health care plan, Life insurance, Paid time off (volunteering or personal days)",4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40171960?source=searchresults
administration officer,"Posted on March 22, 2024",MINISTERE DE LA LANGUE FRANÇAISE,"Québec, QC",18.75 HOUR,35 hours per week,Casual employmentPart time,,1 vacancy,,,,,,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40592266?source=searchresults
computer development division head,"Posted on March 28, 2024",Ministère du Conseil exécutif,"New Richmond, QC","71,257 YEAR",,Full time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649427?source=searchresults
immigration settlement practitioner,"Posted on March 15, 2024",DROIT A L'EMPLOI (D.E.),"Saint-Jean-sur-Richelieu, QC",25.25 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40525273?source=searchresults
senior accounting analyst,"Posted on March 07, 2024",Fed Finance,"Joliette, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40451207?source=searchresults
front desk agent,"Posted on March 28, 2024","Bota Bota, spa-sur-l?eau","Montréal, QC",24.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40648692?source=searchresults
fast food restaurant manager,"Posted on March 16, 2024",BRUNES INVESTMENTS INC.,"Gatineau, QC","50,000 WEEKLY",44 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40538530?source=searchresults
purchasing contracts administrator,"Posted on March 19, 2024",Fed Supply,"Montréal, QC","60,000 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40557441?source=searchresults
garage mechanic,"Posted on March 15, 2024",Kenworth Estrie,"Coaticook, QC",20.00 HOUR,40 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40528458?source=searchresults
maintenance joiner,"Posted on March 27, 2024",Le Groupe PMLC.,"Montréal, QC",25.63 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40640558?source=searchresults
dishwasher,"Posted on March 18, 2024",CAFE ACADIEN BONAVENTURE INC.,"Bonaventure, QC",16.00 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40547421?source=searchresults
customer service assistant,"Posted on March 20, 2024",MICHAEL ROSSY LTEE,"Gaspé, QC",15.75 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40568813?source=searchresults
"manager, warehouse","Posted on March 27, 2024",Emipire Health Dist.,"Terrebonne, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40642398?source=searchresults
locksmith,"Posted on March 13, 2024",SERRURIER RIVE-SUD INC,"Lévis, QC",20.00 HOUR,40 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40503580?source=searchresults
receptionist-secretary,"Posted on March 01, 2024",CENTRE PSYCHO-PEDAGOGIQUE DE  QUEBEC INC (École St-François),"Québec, QC",22.00 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40401302?source=searchresults
sales clerk,"Posted on March 05, 2024",PISCINES CLASSIC INC,"Victoriaville, QC",15.75 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40428764?source=searchresults
welder-assembler,"Posted on March 14, 2024",Groupe Mayrand,"Tingwick, QC",29.06 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40516054?source=searchresults
architectural technician,"Posted on March 19, 2024",Cégep Limoilou,"Québec, QC",24.36 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40560382?source=searchresults
housekeeping attendant,"Posted on March 21, 2024",SOCIETE EN COMMANDITE PMA DELSON (Marché d'alimentation Pasquier Delson),"Delson, QC",18.00 HOUR,35 hours per week,Permanent employment,,1 vacancy,,,,,,5/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40578894?source=searchresults
spray painter,"Posted on March 11, 2024",Placeteco inc.,"Shawinigan, QC",22.62 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/9/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40477889?source=searchresults
"designer, clothing","Posted on March 28, 2024",8372683 Canada Inc.,"Lachine, QC",21.63 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,Bilingual,Other trades certificate or diploma,3 years to less than 5 years,,"Dental plan, Disability benefits, Health care plan, Long-term care insurance, Free parking available",4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40646808?source=searchresults
water and wastewater technician,"Posted on March 15, 2024",Ville de Beaupré,"Beaupré, QC",25.50 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527388?source=searchresults
electrician,"Posted on March 27, 2024",Centre de services scolaire des Premières-Seigneuries,"Québec, QC",26.57 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40641990?source=searchresults
early childhood educator (ECE),"Posted on March 18, 2024",CPE de l'Érablière,"Gatineau, QC",18.52 WEEKLY,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40546236?source=searchresults
production planner,"Posted on March 26, 2024",Fed Supply,"Boucherville, QC","50,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40628693?source=searchresults
day camp leader,"Posted on March 15, 2024",Ville de Desbiens,"Desbiens, QC",19.00 HOUR,35 to 40 hours per week,Seasonal employmentFull time,,3 vacancies,French,,,"Assist with coordination of recreational, sport and fitness events, Lead groups and individuals in recreational or leisure programs, Plan and carry out recreational, fitness and sports activities, Leading/instructing groups, Patrolling/supervising activities, Ensure health and safety regulations are followed, Assemble supplies, sports and game equipment","Free parking available, Learning/training paid by employer",4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40523557?source=searchresults
reception clerk,"Posted on March 26, 2024",Hôtel Universel Rivière-du-Loup,"Rivière-du-Loup, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624718?source=searchresults
construction helper,"Posted on March 28, 2024",SOCIETE DES ETABLISSEMENTS DE PLEIN AIR DU QUEBEC,"Orford, QC",16.25 HOUR,35 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649335?source=searchresults
halfway house worker,"Posted on March 12, 2024",SOCIETE ELIZABETH FRY         DU QUEBEC,"Québec, QC",19.30 HOUR,8 hours per week,Casual employmentPart time,,1 vacancy,,,,,,4/22/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40492992?source=searchresults
secretary-clerk,"Posted on March 18, 2024",Ville de Brossard,"Brossard, QC",27.09 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40551329?source=searchresults
office cashier,"Posted on March 22, 2024",Sprint,"Saguenay, QC",16.75 HOUR,,Permanent employmentPart time,Starts as soon as possible,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40589245?source=searchresults
custodian supervisor - cleaning services,"Posted on March 21, 2024",Qualinet Groupe Belisle inc.,"Gatineau, QC",25.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40581917?source=searchresults
courtesy desk clerk,"Posted on March 11, 2024",Auvents W Lecours,"Québec, QC",19.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40480801?source=searchresults
automotive service technician,"Posted on March 27, 2024",Cité Construction TM,"Thetford Mines, QC",26.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40639052?source=searchresults
shipping and receiving clerk,"Posted on March 20, 2024",Caoutchoucs et Plastiques Falpaco inc.,"Granby, QC",17.50 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40564330?source=searchresults
"counsellor, day camp - recreation","Posted on March 14, 2024",MUNICIPALITE DE               SAINT-GERMAIN-DE-GRANTHAM,"Saint-Germain-de-Grantham, QC",16.56 HOUR,35 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40512793?source=searchresults
production supervisor - machine shop,"Posted on March 26, 2024",TECHNOGENIE RESSOURCES PLUS   INC.,"Drummondville, QC","50,000 YEAR",40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/22/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624184?source=searchresults
construction technician,"Posted on March 13, 2024",Groupe GÉOS inc.,"Saguenay, QC",26.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40504949?source=searchresults
motor vehicle body repairer - metal and paint,"Posted on March 27, 2024",Centre de service Duvallon (intact),"Québec, QC",18.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40632546?source=searchresults
labourer - metal fabrication,"Posted on March 14, 2024",FERBLANTERIE DE L'EST INC.,"Saint-Pascal, QC",16 WEEKLY,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40512825?source=searchresults
light duty cleaner,"Posted on February 16, 2024",3971759 Canada inc,"Montréal, QC",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"No degree, certificate or diploma",Will train,"Sweep, mop, wash and polish floors, Disinfect operating rooms and other areas, Pick up debris and empty trash containers, Perform light housekeeping and cleaning duties, Address customers' complaints or concerns",,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40302332?source=searchresults
carpenter-joiner,"Posted on March 05, 2024",TOITURES ET REVETEMENTS J & L INC.,"Trois-Rivières, QC",25.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40429977?source=searchresults
legal secretary,"Posted on March 13, 2024",Réseau d?aide juridique,"Granby, QC","42,315 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40505319?source=searchresults
prosecution clerk,"Posted on March 04, 2024",Éconofitness,"Terrebonne, QC",15.25 HOUR,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40420781?source=searchresults
"driver, taxi","Posted on March 25, 2024",9187-3539 QUEBEC INC.,"Vaudreuil-Dorion, QC",20.00 DAY,40 hours per week,Permanent employmentFull time,,5 vacancies,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40614875?source=searchresults
materials handling technician,"Posted on March 14, 2024","LCL ? Génie, environnement & développement durable","Longueuil, QC",24.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40508640?source=searchresults
assembler-mechanic - motor vehicle manufacturing,"Posted on March 20, 2024",Simard Suspensions inc.,"Baie-Saint-Paul, QC",21.63 HOUR,,Permanent employmentFull time,Starts as soon as possible,2 vacancies,,,,,,4/18/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40564424?source=searchresults
communications adviser,"Posted on March 06, 2024",Cégep de Matane,"Matane, QC","47,886 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40441826?source=searchresults
occupational health and safety (OHS) consultant,"Posted on March 06, 2024",UNIVERSITE DU QUEBEC EN       ABITIBI-TEMISCAMINGUE,"Rouyn-Noranda, QC","55,284 YEAR",35 hours per week,Term or contractFull time,,1 vacancy,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40441029?source=searchresults
customer service adviser,"Posted on March 25, 2024",BOUTIQUE LACE INC.,"Sainte-Anne-de-Bellevue, QC",16.00 HOUR,35 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40615681?source=searchresults
cabinet assembler and wood furniture maker foreman/woman,"Posted on March 26, 2024",Design Dekos Plus inc.,"Dorval, QC",30.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"College/CEGEP

or equivalent experience
Cabinetmaking and millwork",5 years or more,"Establish work schedules, Oversee safety of operations, Supervise, co-ordinate and schedule (and possibly review) activities of workers, Requisition or order materials, equipment and supplies, Resolve work problems and recommend measures to improve productivity, Recommend measures to improve productivity and product quality, Set up machines and equipment, 3-4 people, Furniture and fixture assemblers and inspectors, Furniture finishers and refinishers","Commission, Free parking available, Learning/training paid by employer, Other benefits, Paid time off (volunteering or personal days), Parking available",4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40624651?source=searchresults
